county,date,alcohol_type,sum_sale_dollars,avg_sale_dollars,population
audubon,2023,BRANDY,6876.66,74.74630434782608,5533.0
audubon,2023,COCKTAILS,3822.12,72.11547169811321,5533.0
audubon,2023,GIN,4679.5599999999995,47.75061224489795,5533.0
audubon,2023,LIQUEUR,13259.84,74.0773184357542,5533.0
audubon,2023,RUM,33738.73,77.20533180778033,5533.0
audubon,2023,SCHNAPPS,6883.39,55.06712,5533.0
audubon,2023,SCOTCH,1740.63,124.3307142857143,5533.0
audubon,2023,TEQUILA,11115.03,80.54369565217392,5533.0
audubon,2023,VODKA,53173.69,75.5308096590909,5533.0
audubon,2023,WHISKEY,116790.25,95.02868185516681,5533.0
audubon,2024,BRANDY,5307.28,96.496,5562.0
audubon,2024,COCKTAILS,2517.9,64.56153846153846,5562.0
audubon,2024,GIN,4175.0599999999995,54.221558441558436,5562.0
audubon,2024,LIQUEUR,9822.11,60.25834355828221,5562.0
audubon,2024,RUM,32450.94,86.7672192513369,5562.0
audubon,2024,SCHNAPPS,7038.38,57.222601626016264,5562.0
audubon,2024,SCOTCH,1601.62,133.46833333333333,5562.0
audubon,2024,TEQUILA,9788.15,92.34103773584906,5562.0
audubon,2024,VODKA,46675.25,79.65059726962457,5562.0
audubon,2024,WHISKEY,126271.32,94.94084210526316,5562.0
benton,2022,BRANDY,20997.42,55.99312,25756.0
benton,2022,COCKTAILS,34428.52,57.38086666666666,25756.0
benton,2022,GIN,19147.23,65.34890784982935,25756.0
benton,2022,LIQUEUR,74348.6,69.8765037593985,25756.0
benton,2022,RUM,164514.61000000002,91.75382598996097,25756.0
benton,2022,SCHNAPPS,63827.72,48.50130699088146,25756.0
benton,2022,SCOTCH,3211.67,97.32333333333334,25756.0
benton,2022,TEQUILA,58917.97,96.90455592105263,25756.0
benton,2022,VODKA,271796.99,78.57675339693553,25756.0
benton,2022,WHISKEY,644966.25,105.40386501062265,25756.0
benton,2023,BRANDY,25903.75,62.873179611650485,25769.0
benton,2023,COCKTAILS,38505.43,62.005523349436395,25769.0
benton,2023,GIN,25811.76,67.57005235602094,25769.0
benton,2023,LIQUEUR,81242.83,66.15865635179154,25769.0
benton,2023,RUM,188560.97,104.35028776978417,25769.0
benton,2023,SCHNAPPS,71885.69,51.716323741007194,25769.0
benton,2023,SCOTCH,3274.87,109.16233333333334,25769.0
benton,2023,TEQUILA,83251.27,103.28941687344914,25769.0
benton,2023,VODKA,349698.38,90.22146026831786,25769.0
benton,2023,WHISKEY,742131.2,111.18070411985018,25769.0
benton,2024,BRANDY,22676.170000000002,63.16481894150419,25799.0
benton,2024,COCKTAILS,33854.85,59.49885764499121,25799.0
benton,2024,GIN,24402.28,60.25254320987654,25799.0
benton,2024,LIQUEUR,83665.78,72.1256724137931,25799.0
benton,2024,RUM,184447.16,104.97846328969835,25799.0
benton,2024,SCHNAPPS,70485.97,55.19653093187158,25799.0
benton,2024,SCOTCH,4061.25,81.225,25799.0
benton,2024,TEQUILA,84674.64,103.13598051157125,25799.0
benton,2024,VODKA,380433.08,95.61022367429003,25799.0
benton,2024,WHISKEY,774770.91,105.54024111156518,25799.0
black hawk,2022,BRANDY,1828589.95,172.3134140595552,130081.0
