FIPS,County,City,Year,Estimate,Primary Point
1962130,Dubuque,Peosta,July 01 2022,2064,POINT (-90.8475209 42.447383)
1926400,Linn,Fairfax,July 01 2013,2393,POINT (-91.7758659 41.9227519)
1921720,Scott,Donahue,April 01 2020,335,POINT (-90.6746301 41.6915346)
1980490,Decatur,Van Wert,April 01 2010,230,POINT (-93.7918044 40.8710641)
1960015,Clayton,Osterdock,July 01 2022,46,POINT (-91.1578336 42.7313862)
1956325,Henry,New London,July 01 2021,3921,POINT (-91.4011156 40.9231717)
1949350,Cherokee,Marcus,July 01 2012,1107,POINT (-95.8068149 42.8223959)
1910765,Warren,Carlisle (pt.),July 01 2018,4186,POINT (-93.4877345 41.511846)
1940980,Washington,Keota (pt.),July 01 2017,0,POINT (-91.953364 41.3654267)
1944535,Decatur,Leon,April 01 2020,1822,POINT (-93.7545236 40.7407471)
1999990,Butler,Balance of Butler County,July 01 2015,5616,
1924690,Clayton,Elkader,July 01 2018,1215,POINT (-91.4023462 42.8571273)
1960015,Clayton,Osterdock,July 01 2018,56,POINT (-91.1578336 42.7313862)
1972525,Page,Shenandoah (pt.),April 01 2010,5150,POINT (-95.3720582 40.7583016)
1901045,Hardin,Alden,April 01 2010,787,POINT (-93.380649 42.5105935)
1950205,Delaware,Masonville,July 01 2014,124,POINT (-91.5915017 42.4798479)
1961815,Greene,Paton,July 01 2014,234,POINT (-94.2550567 42.1642219)
1999990,Hamilton,Balance of Hamilton County,July 01 2018,3599,
1958620,Fayette,Oelwein,July 01 2021,5850,POINT (-91.9131952 42.6713674)
1977115,Tama,Tama,July 01 2019,2732,POINT (-92.5739874 41.9636382)
1915105,Page,College Springs,July 01 2023,173,POINT (-95.1211184 40.6212901)
1926760,Dubuque,Farley,July 01 2012,1560,POINT (-91.0091147 42.4437548)
1923160,Tama,Dysart,April 01 2010,1379,POINT (-92.3090956 42.1721011)
1999990,Van Buren,Balance of Van Buren County,July 01 2021,4099,
1962850,Boone,Pilot Mound,July 01 2017,170,POINT (-94.0183302 42.1592616)
1967575,Fremont,Riverton,July 01 2014,285,POINT (-95.5686127 40.6868183)
1959250,Jones,Onslow,July 01 2017,194,POINT (-91.0152515 42.1073153)
1940215,Hamilton,Kamrar,July 01 2019,190,POINT (-93.7279798 42.3896833)
1999990,Grundy,Balance of Grundy County,July 01 2024,4100,
1971940,Union,Shannon City (pt.),April 01 2010,66,POINT (-94.2638596 40.8992002)
1974370,Winneshiek,Spillville,July 01 2023,374,POINT (-91.9520776 43.2031266)
1910045,Winneshiek,Calmar,July 01 2016,946,POINT (-91.8677508 43.1805636)
1947010,Clinton,Low Moor,April 01 2010,288,POINT (-90.3542133 41.8023436)
1913485,Webster,Clare,July 01 2019,135,POINT (-94.3446885 42.587455)
1944490,Adams,Lenox (pt.),July 01 2013,0,POINT (-94.5583357 40.8830419)
1921180,Clinton,De Witt,April 01 2010,5322,POINT (-90.5438894 41.8224214)
1906355,Scott,Bettendorf,July 01 2012,34113,POINT (-90.4764586 41.56564)
1923115,Delaware,Dyersville (pt.),July 01 2011,187,POINT (-91.1174613 42.4817273)
1926175,Clay,Everly,July 01 2017,562,POINT (-95.3198127 43.1618843)
1954705,Henry,Mount Pleasant,July 01 2011,8729,POINT (-91.5452743 40.9621765)
1919675,Delaware,Delhi,July 01 2022,427,POINT (-91.3305383 42.4302416)
1948500,Jefferson,Maharishi Vedic City,July 01 2013,1301,POINT (-92.0138829 41.0543302)
1926175,Clay,Everly,July 01 2019,550,POINT (-95.3198127 43.1618843)
1931395,Carroll,Glidden,July 01 2017,1114,POINT (-94.7266652 42.0576308)
1958530,Osceola,Ocheyedan,July 01 2015,470,POINT (-95.5365264 43.4181152)
1951735,Des Moines,Middletown,July 01 2021,362,POINT (-91.262221 40.8273404)
1999990,Henry,Balance of Henry County,July 01 2019,6375,
1921360,Clay,Dickens,April 01 2010,185,POINT (-95.0223206 43.1339372)
1903115,Ida,Arthur,July 01 2011,205,POINT (-95.3469405 42.3353614)
1908875,Plymouth,Brunsville,July 01 2014,153,POINT (-96.2667032 42.8109608)
1999990,Hardin,Balance of Hardin County,July 01 2022,4221,
1999990,Calhoun,Balance of Calhoun County,July 01 2024,2685,
1934680,Warren,Hartford,July 01 2013,771,POINT (-93.4052141 41.4577051)
1971895,Page,Shambaugh,July 01 2017,179,POINT (-95.0352465 40.6574753)
1999990,Louisa,Balance of Louisa County,July 01 2015,4773,
1939405,Black Hawk,Janesville (pt.),April 01 2020,115,POINT (-92.4629269 42.6458874)
1914880,Montgomery,Coburg,July 01 2014,41,POINT (-95.2655524 40.9187888)
1983055,Keokuk,Webster,April 01 2010,88,POINT (-92.1715154 41.4378773)
1922980,Cedar,Durant (pt.),July 01 2015,1710,POINT (-90.9119451 41.6014845)
1937335,Lee,Houghton,July 01 2013,144,POINT (-91.6108093 40.7836664)
1919135,Dallas,Dawson,July 01 2017,124,POINT (-94.2203279 41.8430917)
1957945,Appanoose,Numa,July 01 2021,70,POINT (-92.9799877 40.6854066)
1961770,Iowa,Parnell,July 01 2023,189,POINT (-92.0045582 41.583661)
1968520,Pocahontas,Rolfe,July 01 2015,555,POINT (-94.5313396 42.8129005)
1999990,Sioux,Balance of Sioux County,July 01 2023,8010,
1986835,Harrison,Woodbine,July 01 2021,1633,POINT (-95.7067259 41.7346202)
1981705,Muscatine,Walcott (pt.),July 01 2016,0,POINT (-90.771914 41.5865454)
1906805,Benton,Blairstown,April 01 2020,713,POINT (-92.0823291 41.9062103)
1974370,Winneshiek,Spillville,July 01 2024,371,POINT (-91.9520776 43.2031266)
1974280,Clay,Spencer,July 01 2013,11124,POINT (-95.1533205 43.1468576)
1980805,Iowa,Victor (pt.),July 01 2018,757,POINT (-92.2947426 41.7307354)
1961590,Butler,Parkersburg,July 01 2023,1991,POINT (-92.7787946 42.5740001)
1900370,Guthrie,Adair (pt.),July 01 2011,19,POINT (-94.6434132 41.5003898)
1933465,Clayton,Guttenberg,April 01 2020,1817,POINT (-91.1059046 42.7887133)
1950790,Des Moines,Mediapolis,July 01 2023,1674,POINT (-91.1637445 41.0078886)
1905635,Jackson,Bellevue,July 01 2014,2160,POINT (-90.4318375 42.2625585)
1958080,Pottawattamie,Oakland,July 01 2017,1507,POINT (-95.3967245 41.3077729)
