"","County","Year","Population"
"309","Mahaska",2023,21967
"310","Mahaska",2024,22034
"311","Marion",2020,33414
"312","Marion",2021,33450
"313","Marion",2022,33582
"314","Marion",2023,33718
"315","Marion",2024,34048
"316","Marshall",2020,40105
"317","Marshall",2021,39915
"318","Marshall",2022,39940
"319","Marshall",2023,40230
"320","Marshall",2024,40392
"321","Mills",2020,14484
"322","Mills",2021,14491
"323","Mills",2022,14572
"324","Mills",2023,14642
"325","Mills",2024,14717
"326","Mitchell",2020,10565
"327","Mitchell",2021,10555
"328","Mitchell",2022,10557
"329","Mitchell",2023,10544
"330","Mitchell",2024,10632
"331","Monona",2020,8751
"332","Monona",2021,8595
"333","Monona",2022,8515
"334","Monona",2023,8503
"335","Monona",2024,8429
"336","Monroe",2020,7577
"337","Monroe",2021,7586
"338","Monroe",2022,7524
"339","Monroe",2023,7486
"340","Monroe",2024,7373
"341","Montgomery",2020,10330
"342","Montgomery",2021,10317
"343","Montgomery",2022,10210
"344","Montgomery",2023,10148
"345","Montgomery",2024,10063
"346","Muscatine",2020,43235
"347","Muscatine",2021,42693
"348","Muscatine",2022,42501
"349","Muscatine",2023,42316
"350","Muscatine",2024,42132
"351","O'Brien",2020,14182
"352","O'Brien",2021,14048
"353","O'Brien",2022,14107
"354","O'Brien",2023,14067
"355","O'Brien",2024,14260
"356","Osceola",2020,6192
"357","Osceola",2021,6174
"358","Osceola",2022,6073
"359","Osceola",2023,6016
"360","Osceola",2024,6036
"361","Page",2020,15185
"362","Page",2021,15232
"363","Page",2022,15169
"364","Page",2023,15012
"365","Page",2024,15038
"366","Palo Alto",2020,8996
"367","Palo Alto",2021,8932
"368","Palo Alto",2022,8772
"369","Palo Alto",2023,8807
"370","Palo Alto",2024,8809
"371","Plymouth",2020,25698
"372","Plymouth",2021,25738
"373","Plymouth",2022,25714
"374","Plymouth",2023,25765
"375","Plymouth",2024,25825
"376","Pocahontas",2020,7078
"377","Pocahontas",2021,7043
"378","Pocahontas",2022,7090
"379","Pocahontas",2023,7024
"380","Pocahontas",2024,7006
"381","Polk",2020,492401
"382","Polk",2021,497903
"383","Polk",2022,501261
"384","Polk",2023,507487
"385","Polk",2024,516185
"386","Pottawattamie",2020,93667
"387","Pottawattamie",2021,93403
"388","Pottawattamie",2022,93180
"389","Pottawattamie",2023,93353
"390","Pottawattamie",2024,93529
"391","Poweshiek",2020,18662
"392","Poweshiek",2021,18623
"393","Poweshiek",2022,18521
"394","Poweshiek",2023,18497
"395","Poweshiek",2024,18454
"396","Ringgold",2020,4663
"397","Ringgold",2021,4636
"398","Ringgold",2022,4692
"399","Ringgold",2023,4646
"400","Ringgold",2024,4608
"401","Sac",2020,9814
"402","Sac",2021,9771
"403","Sac",2022,9680
"404","Sac",2023,9663
"405","Sac",2024,9533
"406","Scott",2020,174669
"407","Scott",2021,174250
"408","Scott",2022,173985
"409","Scott",2023,174589
"410","Scott",2024,175601
"411","Shelby",2020,11746
"412","Shelby",2021,11776
